experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5000,2,0.7435897435897436,58,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5000,3,0.7564102564102564,59,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5000,4,0.46153846153846156,36,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5500,1,0.9361702127659575,264,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5500,2,0.6099290780141844,172,282,2
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5500,1,0.8928571428571429,125,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5500,2,0.8714285714285714,122,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5500,3,0.5285714285714286,74,140,3
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5500,1,0.8589743589743589,67,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5500,2,0.7435897435897436,58,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5500,3,0.7564102564102564,59,78,4
Qwen/Qwen3-1.7B/1108__curr=random__training_seed=1,5500,4,0.46153846153846156,36,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,0,1,0.9680851063829787,273,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,0,2,0.7411347517730497,209,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,0,1,0.9214285714285714,129,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,0,2,0.9285714285714286,130,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,0,3,0.7071428571428572,99,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,0,1,0.9487179487179487,74,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,0,2,0.8333333333333334,65,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,0,3,0.8589743589743589,67,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,0,4,0.5641025641025641,44,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,500,1,0.9574468085106383,270,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,500,2,0.7021276595744681,198,282,2
